	precision	recall	F1_score
silence	0.969811320754717	1.0	0.9846743295019157
unknown	0.924812030075188	0.9571984435797666	0.9407265774378585
yes	0.9880952380952381	0.97265625	0.9803149606299213
no	0.9752066115702479	0.9365079365079365	0.9554655870445344
up	0.9300699300699301	0.9779411764705882	0.953405017921147
down	0.9872881355932204	0.9209486166007905	0.9529652351738241
left	0.9625468164794008	0.9625468164794008	0.9625468164794008
right	0.9763779527559056	0.9575289575289575	0.966861598440546
on	0.9486166007905138	0.975609756097561	0.9619238476953909
off	0.97265625	0.950381679389313	0.9613899613899615
stop	0.9879518072289156	0.9879518072289156	0.9879518072289156
go	0.9411764705882353	0.9561752988047809	0.9486166007905138
